week_monday,company_id,ticker,simple_mean_stance,n_articles,n_days_covered,has_data,is_imputed
2024-04-29,14,V,-0.1549669653988868,65.0,7.0,True,False
2024-05-06,14,V,-0.0582424577969649,56.0,7.0,True,False
2024-05-13,14,V,-0.0517847523559773,74.0,7.0,True,False
2024-05-20,14,V,0.0282162259717294,90.0,7.0,True,False
2024-05-27,14,V,-0.1427245005668934,79.0,7.0,True,False
2024-06-03,14,V,-0.088310893341579,64.0,7.0,True,False
2024-06-10,14,V,-0.077548368070818,75.0,7.0,True,False
2024-06-17,14,V,0.0138771532212885,85.0,7.0,True,False
2024-06-24,14,V,-0.0517917591630591,71.0,7.0,True,False
2024-07-01,14,V,-0.1361642880952381,50.0,7.0,True,False
2024-07-08,14,V,0.057115373015873,55.0,7.0,True,False
2024-07-15,14,V,0.0648307455215419,53.0,7.0,True,False
2024-07-22,14,V,-0.0790968222365869,72.0,7.0,True,False
2024-07-29,14,V,-0.0096751158730158,55.0,7.0,True,False
2024-08-05,14,V,0.038984132034632,56.0,7.0,True,False
2024-08-12,14,V,0.1360426037414966,52.0,7.0,True,False
2024-08-19,14,V,0.0803874838844628,59.0,7.0,True,False
2024-08-26,14,V,-0.0997368376527399,83.0,7.0,True,False
2024-09-02,14,V,-0.1544263486689004,114.0,7.0,True,False
2024-09-09,14,V,-0.1650347901672207,94.0,7.0,True,False
2024-09-16,14,V,-0.0631855265906362,95.0,7.0,True,False
2024-09-23,14,V,-0.1898444087082316,162.0,7.0,True,False
2024-09-30,14,V,0.0124130289698396,88.0,7.0,True,False
2024-10-07,14,V,-0.0794003666353487,92.0,7.0,True,False
2024-10-14,14,V,0.1204862586734693,81.0,7.0,True,False
2024-10-21,14,V,0.1492379828571428,34.0,5.0,True,False
2024-10-28,14,V,0.0276607570861678,84.0,7.0,True,False
2024-11-04,14,V,0.1536023624999999,24.0,4.0,True,False
2024-11-11,14,V,-0.0207810426307819,80.0,7.0,True,False
2024-11-18,14,V,-0.102762965801538,95.0,7.0,True,False
2024-11-25,14,V,-0.0677868568788041,82.0,7.0,True,False
2024-12-02,14,V,-0.0680535977629513,95.0,7.0,True,False
2024-12-09,14,V,-0.0204610661510058,97.0,7.0,True,False
2024-12-16,14,V,-0.1424848834603992,101.0,7.0,True,False
2024-12-23,14,V,-0.0603674851198509,99.0,7.0,True,False
2024-12-30,14,V,-0.19962016292517,89.0,7.0,True,False
2025-01-06,14,V,-0.0699228244497799,111.0,7.0,True,False
2025-01-13,14,V,0.0300793125,108.0,7.0,True,False
2025-01-20,14,V,-0.1185576135123854,212.0,7.0,True,False
2025-01-27,14,V,-0.0694524754878048,115.0,3.0,True,False
2025-02-03,14,V,-0.0694524754878048,0.0,,False,True
2025-02-10,14,V,-0.0694524754878048,0.0,,False,True
2025-02-17,14,V,-0.1605493222222222,34.0,3.0,True,False
2025-02-24,14,V,0.0024100372467023,159.0,7.0,True,False
2025-03-03,14,V,-0.136788577257525,135.0,7.0,True,False
2025-03-10,14,V,-0.3185578697248831,295.0,7.0,True,False
2025-03-17,14,V,-0.1516409521472709,281.0,7.0,True,False
2025-03-24,14,V,-0.2395263156291033,260.0,7.0,True,False
2025-03-31,14,V,-0.2200395660110551,269.0,7.0,True,False
2025-04-07,14,V,-0.2124799614332378,305.0,7.0,True,False
2025-04-14,14,V,-0.2078756846063913,314.0,7.0,True,False
2025-04-21,14,V,-0.2172647416804205,264.0,7.0,True,False
2025-04-28,14,V,-0.0831130493965433,207.0,7.0,True,False
2025-05-05,14,V,-0.0967440860957492,219.0,7.0,True,False
2025-05-12,14,V,-0.0522615533782852,192.0,7.0,True,False
2025-05-19,14,V,-0.1383350736402156,251.0,7.0,True,False
2025-05-26,14,V,-0.1768839388673651,431.0,7.0,True,False
2025-06-02,14,V,-0.2697312511925595,457.0,7.0,True,False
2025-06-09,14,V,-0.1719733643294049,235.0,7.0,True,False
2025-06-16,14,V,-0.1748331907705111,185.0,7.0,True,False
2025-06-23,14,V,-0.0872084750444161,179.0,7.0,True,False
2025-06-30,14,V,-0.2262563708478341,228.0,7.0,True,False
2025-07-07,14,V,-0.132675645875553,179.0,7.0,True,False
2025-07-14,14,V,-0.1171242740904928,201.0,7.0,True,False
2025-07-21,14,V,-0.0323912825591359,233.0,7.0,True,False
2025-07-28,14,V,-0.0751058641734205,201.0,7.0,True,False
2025-08-04,14,V,-0.0719057838723433,206.0,7.0,True,False
2025-08-11,14,V,-0.1178799469658606,155.0,7.0,True,False
2025-08-18,14,V,-0.1328140365245928,218.0,7.0,True,False
2025-08-25,14,V,-0.1205169213229055,185.0,7.0,True,False
2025-09-01,14,V,-0.1516223023559424,194.0,7.0,True,False
2025-09-08,14,V,-0.0859933792911367,224.0,7.0,True,False
2025-09-15,14,V,-0.1433279958822813,295.0,7.0,True,False
2025-09-22,14,V,-0.1937519629602938,451.0,7.0,True,False
2025-09-29,14,V,-0.2180496746100536,339.0,7.0,True,False
2025-10-06,14,V,-0.1770045561875502,170.0,7.0,True,False
2025-10-13,14,V,-0.1720961642453883,283.0,7.0,True,False
2025-10-20,14,V,-0.2191456115233541,150.0,7.0,True,False
2025-10-27,14,V,-0.0385545196519664,178.0,7.0,True,False
2025-11-03,14,V,-0.0876028020334928,130.0,7.0,True,False
2025-11-10,14,V,-0.1059192680334512,132.0,3.0,True,False
2025-11-17,14,V,-0.1059192680334512,0.0,,False,True
2025-11-24,14,V,-0.1059192680334512,0.0,,False,True
2025-12-01,14,V,-0.1059192680334512,0.0,,False,True
2025-12-08,14,V,-0.1059192680334512,0.0,,False,True
2025-12-15,14,V,-0.1059192680334512,0.0,,False,True
2025-12-22,14,V,-0.1059192680334512,0.0,,False,True
2025-12-29,14,V,-0.1059192680334512,0.0,,False,True
2015-01-05,12,WMT,-0.3563828875,15.0,4.0,True,False
2015-01-12,12,WMT,-0.1556073472222222,18.0,6.0,True,False
2015-01-19,12,WMT,-0.0640997325396825,35.0,7.0,True,False
2015-01-26,12,WMT,-0.2273713111111111,22.0,6.0,True,False
2015-02-02,12,WMT,-0.2859672416666666,20.0,5.0,True,False
2015-02-09,12,WMT,-0.1837956853174603,32.0,6.0,True,False
2015-02-16,12,WMT,-0.0067790988095238,99.0,7.0,True,False
2015-02-23,12,WMT,0.0016985980725623,45.0,7.0,True,False
2015-03-02,12,WMT,-0.1290858134920634,28.0,6.0,True,False
2015-03-09,12,WMT,-0.1656183333333333,20.0,6.0,True,False
2015-03-16,12,WMT,-0.0592864792717086,40.0,7.0,True,False
2015-03-23,12,WMT,-0.2220693476190476,29.0,7.0,True,False
2015-03-30,12,WMT,-0.1841589943734015,52.0,7.0,True,False
2015-04-06,12,WMT,-0.2064402303030303,39.0,7.0,True,False
2015-04-13,12,WMT,-0.45446485,26.0,7.0,True,False
2015-04-20,12,WMT,-0.297058648989899,26.0,6.0,True,False
2015-04-27,12,WMT,0.0239629,10.0,5.0,True,False
2015-05-04,12,WMT,-0.1044611666666666,11.0,5.0,True,False
2015-05-11,12,WMT,-0.0678823033008658,37.0,6.0,True,False
2015-05-18,12,WMT,0.0474719931235431,51.0,6.0,True,False
2015-05-25,12,WMT,-0.1907588637037037,59.0,5.0,True,False
2015-06-01,12,WMT,0.0965433889545292,70.0,7.0,True,False
2015-06-08,12,WMT,-0.4052180078231292,37.0,7.0,True,False
2015-06-15,12,WMT,-0.184204391025641,37.0,7.0,True,False
2015-06-22,12,WMT,-0.1629731558441558,84.0,7.0,True,False
2015-06-29,12,WMT,-0.479843830950562,45.0,7.0,True,False
2015-07-06,12,WMT,-0.2254726428571428,36.0,7.0,True,False
2015-07-13,12,WMT,-0.1966955579365079,66.0,7.0,True,False
2015-07-20,12,WMT,-0.0176048979591836,41.0,7.0,True,False
2015-07-27,12,WMT,-0.0802827183673469,23.0,7.0,True,False
2015-08-03,12,WMT,-0.1192262857142857,17.0,7.0,True,False
2015-08-10,12,WMT,-0.1835402142857143,19.0,7.0,True,False
2015-08-17,12,WMT,-0.1167681101190476,40.0,6.0,True,False
2015-08-24,12,WMT,-0.0571475063492063,49.0,7.0,True,False
2015-08-31,12,WMT,-0.0790162545787545,34.0,7.0,True,False
2015-09-07,12,WMT,-0.44713175,8.0,4.0,True,False
2015-09-14,12,WMT,-0.0260209583333333,15.0,6.0,True,False
2015-09-21,12,WMT,-0.1125383535714285,33.0,5.0,True,False
2015-09-28,12,WMT,-0.1088638357142857,28.0,7.0,True,False
2015-10-05,12,WMT,-0.2131730962301587,25.0,6.0,True,False
2015-10-12,12,WMT,-0.3574218781385281,55.0,7.0,True,False
2015-10-19,12,WMT,-0.3063199857142857,26.0,7.0,True,False
2015-10-26,12,WMT,0.1272655620448179,52.0,6.0,True,False
2015-11-02,12,WMT,-0.1051882877777777,41.0,5.0,True,False
2015-11-09,12,WMT,0.0998333564713064,50.0,6.0,True,False
