ticker,week_monday,gap_type,method,imputed_value
ABNB,2025-12-01,B,linear_interpolation,-0.55790025
ABNB,2025-12-08,B,linear_interpolation,-0.7520918750000001
ABNB,2025-12-22,A,forward_fill,-0.9462835
ABNB,2025-12-29,A,forward_fill,-0.9462835
AMZN,2015-01-05,A,forward_fill,
AMZN,2015-02-02,B,linear_interpolation,0.34925439999999996
AMZN,2015-02-09,B,linear_interpolation,0.20047505
AMZN,2015-02-16,B,linear_interpolation,0.051695699999999956
AMZN,2015-02-23,B,linear_interpolation,-0.09708365000000002
AMZN,2015-05-11,A,forward_fill,-0.457201
AMZN,2015-08-03,A,forward_fill,0.318024375
AMZN,2016-01-04,A,forward_fill,0.293411
AMZN,2020-03-09,A,forward_fill,0.26956755
AMZN,2024-01-01,A,forward_fill,0.0468585
AMZN,2024-03-11,A,forward_fill,-0.2500150833333334
AMZN,2024-04-15,A,forward_fill,-0.4935319999999999
AMZN,2024-10-21,A,forward_fill,0.0993393333333333
AMZN,2024-12-23,A,forward_fill,-0.1185712738095238
AMZN,2025-12-29,A,forward_fill,-0.5286276666666666
T,2024-02-12,A,forward_fill,-0.385852
T,2025-11-17,B,linear_interpolation,-0.433718
T,2025-11-24,B,linear_interpolation,-0.433718
T,2025-12-01,B,linear_interpolation,-0.433718
T,2025-12-08,B,linear_interpolation,-0.433718
T,2025-12-15,B,linear_interpolation,-0.433718
T,2025-12-22,B,linear_interpolation,-0.433718
T,2025-12-29,B,linear_interpolation,-0.433718
BA,2015-02-23,A,forward_fill,0.1532443333333333
BA,2015-07-06,A,forward_fill,-0.617507
BA,2016-10-10,A,forward_fill,-0.228017
BA,2016-10-31,A,forward_fill,-0.0723808333333333
BA,2016-11-21,A,forward_fill,0.1569596666666666
BA,2017-05-01,A,forward_fill,-0.1471273666666666
BA,2017-06-26,A,forward_fill,0.1828764833333333
BA,2018-08-13,A,forward_fill,-0.1423483333333333
BA,2018-12-24,A,forward_fill,0.0583793888888888
BA,2020-10-19,A,forward_fill,-0.1191212999999999
BA,2020-11-02,A,forward_fill,-0.6239710625
BA,2021-05-17,A,forward_fill,0.2327495625
BA,2021-07-19,A,forward_fill,-0.5544594285714286
BA,2021-08-16,A,forward_fill,0.2667946249999999
BA,2021-12-06,A,forward_fill,-0.2072112291666666
BA,2022-04-18,A,forward_fill,-0.01543
BA,2022-09-05,A,forward_fill,0.1153996428571428
BA,2022-11-21,A,forward_fill,-0.367705
BA,2023-04-17,A,forward_fill,-0.1185087777777777
BA,2023-07-31,A,forward_fill,-0.5370435
BA,2023-10-16,A,forward_fill,0.707922
BA,2023-10-30,A,forward_fill,-0.2022257499999999
BA,2023-11-20,A,forward_fill,0.03666576
BA,2024-02-12,A,forward_fill,-0.2322156333333333
BA,2024-04-15,A,forward_fill,-0.5541917166666667
BA,2025-03-03,A,forward_fill,0.264484
BA,2025-08-11,A,forward_fill,-0.1656128942307692
BAC,2015-01-26,A,forward_fill,-0.14299475
BAC,2015-04-06,A,forward_fill,-0.002951
BAC,2015-06-29,A,forward_fill,0.148705
BAC,2015-09-07,A,forward_fill,-0.4352668333333333
BAC,2015-11-23,A,forward_fill,-0.05500225
BAC,2015-12-21,A,forward_fill,0.017978
BAC,2016-03-21,A,forward_fill,0.2426626666666667
BAC,2016-04-18,A,forward_fill,-0.5726443333333333
BAC,2016-07-04,A,forward_fill,0.0766665
BAC,2016-08-08,A,forward_fill,-0.0589284999999999
BAC,2016-08-29,A,forward_fill,-0.3044696666666667
BAC,2016-09-12,A,forward_fill,-0.211115
BAC,2016-10-24,B,linear_interpolation,0.3531508333333333
BAC,2016-10-31,B,linear_interpolation,0.23906755555555553
BAC,2016-11-07,B,linear_interpolation,0.12498427777777776
BAC,2016-11-28,A,forward_fill,-0.1083949999999999
BAC,2017-01-23,A,forward_fill,0.0461106666666666
BAC,2017-02-27,A,forward_fill,0.19094725
BAC,2017-03-20,A,forward_fill,0.0065819999999999
BAC,2017-04-24,A,forward_fill,0.7005603636363636
BAC,2017-07-24,A,forward_fill,0.4474778125
BAC,2017-08-21,A,forward_fill,-0.3142543333333333
BAC,2017-09-04,A,forward_fill,0.25065525
BAC,2017-09-11,A,forward_fill,0.25065525
BAC,2017-10-16,A,forward_fill,0.3519263214285714
BAC,2017-10-30,A,forward_fill,-0.4227535
BAC,2017-12-25,A,forward_fill,0.4572684999999999
BAC,2018-01-01,A,forward_fill,0.4572684999999999
BAC,2018-03-05,A,forward_fill,-0.186572
BAC,2018-06-18,A,forward_fill,-0.4067218333333333
BAC,2018-07-02,A,forward_fill,-0.07166575
BAC,2018-07-23,A,forward_fill,0.5546223571428571
BAC,2018-09-24,A,forward_fill,-0.0594383333333333
BAC,2018-10-01,A,forward_fill,-0.0594383333333333
BAC,2018-10-22,A,forward_fill,-0.0852904999999999
BAC,2018-11-05,A,forward_fill,-0.155513
BAC,2018-11-19,A,forward_fill,0.17864
BAC,2018-11-26,A,forward_fill,0.17864
BAC,2019-01-07,A,forward_fill,-0.081026
BAC,2019-01-21,A,forward_fill,0.3635424722222222
BAC,2019-02-18,A,forward_fill,0.079367
BAC,2019-04-01,A,forward_fill,-0.1880521875
BAC,2019-06-03,A,forward_fill,-0.036769
BAC,2019-07-01,A,forward_fill,0.2674501666666666
BAC,2019-07-08,A,forward_fill,0.2674501666666666
BAC,2019-08-12,A,forward_fill,0.04119
BAC,2019-08-26,A,forward_fill,-0.4590823333333333
BAC,2019-09-09,A,forward_fill,-0.4173155
BAC,2019-09-23,A,forward_fill,0.294377
BAC,2019-09-30,A,forward_fill,0.294377
BAC,2019-10-21,A,forward_fill,0.0774894166666666
BAC,2019-10-28,A,forward_fill,0.0774894166666666
BAC,2019-11-18,A,forward_fill,0.494245
BAC,2019-11-25,A,forward_fill,0.494245
BAC,2019-12-23,B,linear_interpolation,0.04117112500000006
BAC,2019-12-30,B,linear_interpolation,0.24430775000000002
BAC,2020-01-06,B,linear_interpolation,0.447444375
BAC,2020-01-20,A,forward_fill,0.650581
BAC,2020-02-03,A,forward_fill,0.012871
BAC,2020-02-17,A,forward_fill,-0.140254
BAC,2020-02-24,A,forward_fill,-0.140254
BAC,2020-04-27,A,forward_fill,-0.165492
BAC,2020-06-01,A,forward_fill,-0.977591
BAC,2020-06-29,A,forward_fill,-0.24303
BAC,2020-08-17,A,forward_fill,0.372197
BAC,2020-08-24,A,forward_fill,0.372197
BAC,2020-11-02,A,forward_fill,0.606687
BAC,2020-11-23,A,forward_fill,-0.884501
BAC,2020-12-07,A,forward_fill,0.340264
BAC,2020-12-28,A,forward_fill,0.4133395
BAC,2021-01-11,A,forward_fill,0.137654
BAC,2021-01-25,A,forward_fill,0.0835676666666666
BAC,2021-02-01,A,forward_fill,0.0835676666666666
BAC,2021-02-15,A,forward_fill,-0.88614
BAC,2021-03-01,A,forward_fill,0.2004625
BAC,2021-03-08,A,forward_fill,0.2004625
BAC,2021-05-17,A,forward_fill,-0.1699529999999999
BAC,2021-05-31,A,forward_fill,0.173633
BAC,2021-07-26,A,forward_fill,0.5812315
BAC,2021-08-09,A,forward_fill,0.039179
BAC,2021-08-16,A,forward_fill,0.039179
BAC,2021-08-30,A,forward_fill,0.18046
BAC,2021-09-20,A,forward_fill,0.664906
BAC,2021-10-04,A,forward_fill,0.108054
BAC,2021-10-25,B,linear_interpolation,0.05486816666666667
