company_id,ticker,article_date,n_articles,mean_stance,median_stance,weighted_mean_stance
80,BA,2017-12-20,7,0.060670857142857144,0.026309,0.060670857142857144
80,BA,2017-12-21,10,0.0024856,-0.008561000000000004,0.0024856
80,BA,2017-12-22,11,0.006637000000000001,0.020666,0.006637000000000001
80,BA,2017-12-23,3,0.4976666666666667,0.702129,0.4976666666666667
80,BA,2017-12-25,2,0.709227,0.709227,0.709227
80,BA,2017-12-26,2,-0.018806500000000004,-0.018806500000000004,-0.018806500000000004
80,BA,2017-12-28,1,0.082977,0.082977,0.082977
80,BA,2017-12-29,5,0.02233300000000001,0.036611,0.02233300000000001
80,BA,2017-12-31,1,0.057561,0.057561,0.057561
80,BA,2018-01-01,1,0.034739,0.034739,0.034739
80,BA,2018-01-02,3,0.054899333333333335,0.017178,0.054899333333333335
80,BA,2018-01-03,8,0.027446500000000006,-0.0475235,0.027446500000000006
80,BA,2018-01-04,28,0.17073578571428571,0.19200050000000002,0.17073578571428571
80,BA,2018-01-05,9,0.2519737777777778,0.186233,0.2519737777777778
80,BA,2018-01-06,1,0.410158,0.410158,0.410158
80,BA,2018-01-07,5,0.5880282,0.604485,0.5880282
80,BA,2018-01-08,1,0.654327,0.654327,0.654327
80,BA,2018-01-09,7,0.2621572857142857,0.337729,0.2621572857142857
80,BA,2018-01-10,3,0.7299423333333334,0.675356,0.7299423333333334
80,BA,2018-01-11,7,0.11497257142857142,0.050602,0.11497257142857142
80,BA,2018-01-12,1,-0.225752,-0.225752,-0.225752
80,BA,2018-01-13,11,-0.1421510909090909,-0.115102,-0.1421510909090909
80,BA,2018-01-14,2,-0.0120555,-0.0120555,-0.0120555
80,BA,2018-01-15,5,-0.20796460000000003,-0.405284,-0.20796460000000003
80,BA,2018-01-16,2,0.24619649999999998,0.24619649999999998,0.24619649999999998
80,BA,2018-01-17,5,-0.07050519999999999,0.011393,-0.07050519999999999
80,BA,2018-01-18,15,-0.026558999999999996,0.010195,-0.026558999999999996
80,BA,2018-01-19,16,-0.0470373125,-0.060011999999999996,-0.0470373125
80,BA,2018-01-20,3,-0.19516266666666668,-0.125988,-0.19516266666666668
80,BA,2018-01-21,5,-0.11062000000000001,0.00479,-0.11062000000000001
80,BA,2018-01-22,7,0.17965642857142858,0.119223,0.17965642857142858
80,BA,2018-01-23,6,-0.2468935,-0.13537749999999998,-0.2468935
80,BA,2018-01-24,7,-0.12053614285714286,-0.029818,-0.12053614285714286
80,BA,2018-01-25,9,0.0024796666666666665,0.011058,0.0024796666666666665
80,BA,2018-01-26,6,0.1843735,0.0404455,0.1843735
80,BA,2018-01-27,12,-0.14403083333333333,-0.232502,-0.14403083333333333
80,BA,2018-01-28,8,0.3124305,0.272041,0.3124305
80,BA,2018-01-30,2,-0.18942699999999998,-0.18942699999999998,-0.18942699999999998
80,BA,2018-01-31,10,0.12154419999999999,0.2601215,0.12154419999999999
80,BA,2018-02-01,9,0.04752755555555557,0.00863299999999999,0.04752755555555557
80,BA,2018-02-02,6,-0.017857499999999988,0.074816,-0.017857499999999988
80,BA,2018-02-03,2,0.06649150000000001,0.06649150000000001,0.06649150000000001
80,BA,2018-02-04,4,-0.25148824999999997,-0.203775,-0.25148824999999997
80,BA,2018-02-05,18,0.16393855555555556,0.135184,0.16393855555555556
80,BA,2018-02-06,16,0.1876279375,0.100803,0.1876279375
80,BA,2018-02-07,19,0.1760751052631579,0.059265,0.1760751052631579
80,BA,2018-02-08,8,0.036750374999999995,0.013306499999999999,0.036750374999999995
80,BA,2018-02-09,11,0.10798100000000001,0.017551,0.10798100000000001
80,BA,2018-02-10,4,0.11434,0.0108275,0.11434
80,BA,2018-02-11,4,0.03382224999999999,-0.04958900000000001,0.03382224999999999
80,BA,2018-02-12,8,-0.08888712500000001,-0.029830500000000003,-0.08888712500000001
80,BA,2018-02-13,3,-0.27015433333333333,-0.032564,-0.27015433333333333
80,BA,2018-02-14,5,-0.3603096,-0.357311,-0.3603096
80,BA,2018-02-15,7,0.29167185714285715,0.286852,0.29167185714285715
80,BA,2018-02-16,13,0.029293384615384613,0.014809,0.029293384615384613
80,BA,2018-02-17,1,0.020003,0.020003,0.020003
80,BA,2018-02-18,1,0.042532,0.042532,0.042532
80,BA,2018-02-19,3,-0.059763000000000004,-0.034423,-0.059763000000000004
80,BA,2018-02-20,2,0.4581615,0.4581615,0.4581615
80,BA,2018-02-21,3,0.22652366666666665,0.181881,0.22652366666666665
80,BA,2018-02-22,6,0.1523806666666667,0.062099499999999995,0.1523806666666667
80,BA,2018-02-23,3,0.10888733333333334,0.103929,0.10888733333333334
80,BA,2018-02-24,1,0.701873,0.701873,0.701873
80,BA,2018-02-26,7,-0.07084542857142857,0.008111,-0.07084542857142857
80,BA,2018-02-27,13,0.018881692307692304,0.038369,0.018881692307692304
80,BA,2018-02-28,16,-0.006908687499999996,0.024293500000000003,-0.006908687499999996
80,BA,2018-03-01,24,-0.06440462500000001,0.0077585,-0.06440462500000001
80,BA,2018-03-02,17,0.03830558823529412,0.037653,0.03830558823529412
80,BA,2018-03-03,10,0.3024746,0.38611700000000004,0.3024746
80,BA,2018-03-05,1,0.445728,0.445728,0.445728
80,BA,2018-03-06,4,0.48452225,0.469118,0.48452225
80,BA,2018-03-07,10,0.0465737,-0.010280500000000001,0.0465737
80,BA,2018-03-08,9,0.16559622222222223,0.049009,0.16559622222222223
80,BA,2018-03-09,13,0.17500138461538464,0.014822,0.17500138461538464
80,BA,2018-03-10,4,-0.05559925,-0.017894999999999994,-0.05559925
80,BA,2018-03-11,7,0.026705,0.033328,0.026705
80,BA,2018-03-12,13,-0.33990084615384614,-0.360052,-0.33990084615384614
80,BA,2018-03-13,4,-0.16914025,-0.1914065,-0.16914025
80,BA,2018-03-14,9,0.2838518888888889,0.378626,0.2838518888888889
80,BA,2018-03-15,31,-0.006923161290322579,0.00354900000000001,-0.006923161290322579
80,BA,2018-03-16,1,0.777182,0.777182,0.777182
80,BA,2018-03-17,9,-0.011536777777777769,0.015458,-0.011536777777777769
80,BA,2018-03-18,2,0.0105285,0.0105285,0.0105285
80,BA,2018-03-19,3,0.05312833333333333,0.017007,0.05312833333333333
80,BA,2018-03-20,9,-0.14085666666666669,-0.024366,-0.14085666666666669
80,BA,2018-03-21,2,-0.052394500000000004,-0.052394500000000004,-0.052394500000000004
80,BA,2018-03-22,1,-0.392156,-0.392156,-0.392156
80,BA,2018-03-23,16,-0.0898008125,-0.0715965,-0.0898008125
80,BA,2018-03-24,5,-0.002600400000000014,-0.033266,-0.002600400000000014
80,BA,2018-03-25,1,0.007611,0.007611,0.007611
80,BA,2018-03-26,7,0.14923342857142854,0.027339,0.14923342857142854
80,BA,2018-03-27,8,-0.36385825000000005,-0.309989,-0.36385825000000005
80,BA,2018-03-28,8,0.028324250000000002,0.013724,0.028324250000000002
80,BA,2018-03-29,8,-0.025972875000000003,0.006554000000000001,-0.025972875000000003
80,BA,2018-03-30,2,0.10030549999999999,0.10030549999999999,0.10030549999999999
80,BA,2018-04-01,1,0.008751,0.008751,0.008751
80,BA,2018-04-02,4,0.13293375,0.1300965,0.13293375
80,BA,2018-04-03,3,-0.01792000000000001,0.017404,-0.01792000000000001
80,BA,2018-04-04,34,-0.08506917647058825,0.007268999999999999,-0.08506917647058825
80,BA,2018-04-05,20,-0.00908185,0.010553,-0.00908185
80,BA,2018-04-06,11,-0.34961736363636364,-0.395995,-0.34961736363636364
80,BA,2018-04-07,7,0.13706314285714286,0.086624,0.13706314285714286
80,BA,2018-04-08,1,-0.200701,-0.200701,-0.200701
80,BA,2018-04-09,4,-0.12115000000000002,-0.011929000000000002,-0.12115000000000002
80,BA,2018-04-10,3,-0.164785,-0.034013,-0.164785
80,BA,2018-04-11,3,-0.12098766666666667,0.024292,-0.12098766666666667
80,BA,2018-04-12,18,0.3730112777777778,0.406976,0.3730112777777778
80,BA,2018-04-13,13,0.09919723076923079,0.039962,0.09919723076923079
80,BA,2018-04-14,2,-0.20677949999999998,-0.20677949999999998,-0.20677949999999998
80,BA,2018-04-15,1,0.012435,0.012435,0.012435
80,BA,2018-04-16,2,-0.0533095,-0.0533095,-0.0533095
80,BA,2018-04-17,4,0.09341925,0.160518,0.09341925
80,BA,2018-04-18,6,0.1303415,0.05822250000000001,0.1303415
80,BA,2018-04-19,3,-0.28487766666666664,-0.061341,-0.28487766666666664
80,BA,2018-04-20,6,0.157722,0.09317600000000001,0.157722
80,BA,2018-04-21,3,-0.05594966666666667,0.007545,-0.05594966666666667
80,BA,2018-04-22,1,0.011265,0.011265,0.011265
80,BA,2018-04-23,4,-0.58608625,-0.7169034999999999,-0.58608625
80,BA,2018-04-24,1,-0.929169,-0.929169,-0.929169
80,BA,2018-04-25,5,0.7425925999999999,0.764523,0.7425925999999999
80,BA,2018-04-26,5,0.2332852,0.167388,0.2332852
80,BA,2018-04-27,1,-0.102937,-0.102937,-0.102937
80,BA,2018-04-28,2,-0.16825399999999996,-0.16825399999999996,-0.16825399999999996
80,BA,2018-04-29,2,-0.13938199999999998,-0.13938199999999998,-0.13938199999999998
80,BA,2018-04-30,2,-0.110839,-0.110839,-0.110839
80,BA,2018-05-01,5,0.18624000000000002,0.216297,0.18624000000000002
80,BA,2018-05-02,6,0.07437266666666666,0.051975,0.07437266666666666
80,BA,2018-05-03,3,-0.019850666666666666,0.004438,-0.019850666666666666
80,BA,2018-05-05,1,-0.45781,-0.45781,-0.45781
80,BA,2018-05-06,1,-0.39935,-0.39935,-0.39935
80,BA,2018-05-07,5,0.09385799999999998,0.018804,0.09385799999999998
80,BA,2018-05-08,1,0.29261,0.29261,0.29261
80,BA,2018-05-09,19,-0.2696382105263158,-0.126727,-0.2696382105263158
80,BA,2018-05-10,10,0.03485579999999998,0.09479599999999999,0.03485579999999998
80,BA,2018-05-11,2,-0.0890185,-0.0890185,-0.0890185
80,BA,2018-05-12,3,0.12026966666666666,0.009184,0.12026966666666666
80,BA,2018-05-13,4,0.38216625,0.361181,0.38216625
80,BA,2018-05-14,1,0.026576,0.026576,0.026576
80,BA,2018-05-15,8,0.1299495,0.1287765,0.1299495
80,BA,2018-05-16,2,0.033047999999999994,0.033047999999999994,0.033047999999999994
80,BA,2018-05-17,8,0.25247687500000005,0.2887755,0.25247687500000005
80,BA,2018-05-18,21,-0.3108164761904762,-0.510074,-0.3108164761904762
80,BA,2018-05-19,41,-0.3446987317073171,-0.309975,-0.3446987317073171
80,BA,2018-05-20,32,-0.19456875,-0.155136,-0.19456875
80,BA,2018-05-21,9,-0.34491377777777776,-0.139247,-0.34491377777777776
80,BA,2018-05-22,18,-0.013375722222222235,-0.0438015,-0.013375722222222235
80,BA,2018-05-23,4,-0.028514750000000005,0.0451465,-0.028514750000000005
80,BA,2018-05-24,6,0.01746666666666667,0.0174185,0.01746666666666667
80,BA,2018-05-25,9,-0.02863199999999999,-0.080228,-0.02863199999999999
80,BA,2018-05-27,3,0.058439,0.08933,0.058439
80,BA,2018-05-28,1,-0.432081,-0.432081,-0.432081
80,BA,2018-05-29,3,-0.0033496666666666584,0.010239,-0.0033496666666666584
80,BA,2018-05-30,2,0.14306750000000001,0.14306750000000001,0.14306750000000001
80,BA,2018-05-31,2,0.021294499999999997,0.021294499999999997,0.021294499999999997
80,BA,2018-06-01,12,0.007375916666666663,-0.017813000000000002,0.007375916666666663
80,BA,2018-06-02,4,-0.002256749999999995,0.040483,-0.002256749999999995
80,BA,2018-06-03,10,0.0142094,-0.0156635,0.0142094
80,BA,2018-06-04,24,0.12511587500000002,0.0116115,0.12511587500000002
80,BA,2018-06-05,8,0.3425915,0.35701499999999997,0.3425915
80,BA,2018-06-06,2,-0.4634635,-0.4634635,-0.4634635
80,BA,2018-06-07,7,0.28451042857142855,0.109225,0.28451042857142855
80,BA,2018-06-08,4,0.20085750000000002,0.21597899999999998,0.20085750000000002
80,BA,2018-06-09,4,-0.18740275,-0.12417500000000001,-0.18740275
80,BA,2018-06-10,1,-0.829301,-0.829301,-0.829301
80,BA,2018-06-11,6,0.13874233333333333,-0.0080295,0.13874233333333333
80,BA,2018-06-12,2,0.34893,0.34893,0.34893
80,BA,2018-06-13,6,-0.0337075,0.0194755,-0.0337075
80,BA,2018-06-14,2,0.344207,0.344207,0.344207
80,BA,2018-06-15,8,0.152450125,0.19614199999999998,0.152450125
80,BA,2018-06-16,11,0.04480500000000001,0.028737,0.04480500000000001
80,BA,2018-06-17,1,0.763529,0.763529,0.763529
80,BA,2018-06-18,10,0.2503963,0.078742,0.2503963
80,BA,2018-06-19,17,0.15843135294117647,0.180428,0.15843135294117647
80,BA,2018-06-20,14,0.05890971428571429,0.0855235,0.05890971428571429
80,BA,2018-06-21,5,-0.17784260000000002,-0.05055,-0.17784260000000002
80,BA,2018-06-22,2,0.1934465,0.1934465,0.1934465
80,BA,2018-06-23,4,0.07168175,0.0509345,0.07168175
80,BA,2018-06-24,4,-0.034083999999999996,-0.0911705,-0.034083999999999996
80,BA,2018-06-25,14,0.010575000000000001,-0.0118175,0.010575000000000001
80,BA,2018-06-26,9,0.17870166666666665,0.039123,0.17870166666666665
80,BA,2018-06-27,4,0.22478675,0.210227,0.22478675
80,BA,2018-06-28,8,0.084765375,0.08060300000000001,0.084765375
80,BA,2018-06-29,5,0.2702446,0.056518,0.2702446
80,BA,2018-06-30,4,0.09156275,0.0518705,0.09156275
80,BA,2018-07-01,2,0.1957735,0.1957735,0.1957735
80,BA,2018-07-02,2,0.017839999999999998,0.017839999999999998,0.017839999999999998
80,BA,2018-07-03,4,0.0891655,0.093802,0.0891655
80,BA,2018-07-04,8,-0.114006375,-0.06606200000000001,-0.114006375
80,BA,2018-07-05,5,0.22459020000000002,0.311515,0.22459020000000002
80,BA,2018-07-06,10,0.0731556,0.029643999999999997,0.0731556
80,BA,2018-07-07,2,0.049336000000000005,0.049336000000000005,0.049336000000000005
80,BA,2018-07-08,7,-0.17653285714285713,-0.098778,-0.17653285714285713
80,BA,2018-07-09,6,-0.08898083333333334,0.013837499999999999,-0.08898083333333334
80,BA,2018-07-10,24,0.13060520833333333,0.031763,0.13060520833333333
80,BA,2018-07-11,51,-0.0005784509803921503,0.013571,-0.0005784509803921503
80,BA,2018-07-12,34,0.015440970588235292,0.0243775,0.015440970588235292
80,BA,2018-07-13,26,0.213119,0.1196155,0.213119
80,BA,2018-07-14,16,0.06351875,0.055734000000000006,0.06351875
80,BA,2018-07-15,11,0.24213454545454544,0.144196,0.24213454545454544
80,BA,2018-07-16,30,0.16320246666666668,0.185873,0.16320246666666668
80,BA,2018-07-17,35,0.21691945714285715,0.080328,0.21691945714285715
